,,,variance,variance,variance,std_dev,std_dev,return,return,sharpe,sharpe,sharpe,n_assets,n_assets,is_feasible,is_feasible,time_sec,time_sec,iterations,iterations,pct_feasible_iters,pct_feasible_iters,final_cost,final_cost,final_cost
,,,mean,std,min,mean,std,mean,std,mean,std,max,mean,std,sum,mean,mean,std,mean,std,mean,std,mean,std,min
data_type,market,strategy,,,,,,,,,,,,,,,,,,,,,,,
real,ibovespa,idID_TID,5.5e-05,2e-06,5.4e-05,0.007407,0.00016,0.000573,4e-05,0.077534,0.006895,0.080918,8.0,0.0,5,1.0,2.308751,0.447936,198.2,34.098387,1.0,0.0,5.5e-05,2e-06,5.4e-05
real,ibovespa,idID_TID_aggressive_penalty,5.5e-05,2e-06,5.4e-05,0.007407,0.00016,0.000569,3.9e-05,0.076888,0.006692,0.080335,8.0,0.0,5,1.0,2.192523,0.604373,209.4,45.665085,1.0,0.0,5.5e-05,2e-06,5.4e-05
real,ibovespa,idID_TID_large_step,5.4e-05,0.0,5.4e-05,0.007338,2e-06,0.000581,7e-06,0.079147,0.001029,0.0808,8.0,0.0,5,1.0,1.39599,0.172672,169.6,30.566321,1.0,0.0,5.4e-05,0.0,5.4e-05
real,sp500,idID_TID,3.9e-05,0.0,3.9e-05,0.006208,1e-06,0.000672,8e-06,0.108212,0.00128,0.110372,10.0,0.0,5,1.0,3.951776,0.700982,203.4,44.139551,1.0,0.0,3.9e-05,0.0,3.9e-05
real,sp500,idID_TID_aggressive_penalty,3.9e-05,0.0,3.9e-05,0.006207,0.0,0.000671,1e-06,0.1081,0.000139,0.108328,10.0,0.0,5,1.0,4.744926,1.360808,239.2,69.2943,1.0,0.0,3.9e-05,0.0,3.9e-05
real,sp500,idID_TID_large_step,3.9e-05,0.0,3.9e-05,0.006209,1e-06,0.000668,7e-06,0.107594,0.001141,0.109044,10.0,0.0,5,1.0,4.238108,1.408593,212.2,69.711549,1.0,0.0,3.9e-05,0.0,3.9e-05
synthetic,synthetic,TID_only,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002595,3e-06,0.002598,14.0,0.0,10,1.0,78.56263,17.01887,232.3,41.397933,1.0,0.0,0.208819,0.0,0.208818
synthetic,synthetic,idID_TID,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002595,3e-06,0.002598,14.0,0.0,10,1.0,86.739319,21.316053,232.3,41.397933,1.0,0.0,0.208819,0.0,0.208818
synthetic,synthetic,idID_TID_aggressive_penalty,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002595,3e-06,0.002599,14.0,0.0,10,1.0,93.052374,18.64338,236.0,33.306656,1.0,0.0,0.208819,0.0,0.208818
synthetic,synthetic,idID_TID_conservative_penalty,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002596,3e-06,0.0026,14.0,0.0,10,1.0,2323.382037,7027.186869,245.4,46.272622,1.0,0.0,0.208819,0.0,0.208818
synthetic,synthetic,idID_TID_large_step,0.208822,1e-06,0.20882,0.45697,1e-06,0.001189,3e-06,0.002602,7e-06,0.002613,14.0,0.0,10,1.0,140.986765,149.730247,227.2,46.725677,1.0,0.0,0.208822,1e-06,0.20882
synthetic,synthetic,idID_TID_long_tabu,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002596,2e-06,0.002599,14.0,0.0,10,1.0,92.849664,14.917462,242.3,37.929906,1.0,0.0,0.208819,0.0,0.208818
synthetic,synthetic,idID_TID_short_tabu,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002595,3e-06,0.002598,14.0,0.0,10,1.0,105.571446,23.273409,264.5,55.913127,1.0,0.0,0.208819,0.0,0.208818
synthetic,synthetic,idID_TID_small_step,0.208818,0.0,0.208818,0.456966,0.0,0.001186,1e-06,0.002595,2e-06,0.002597,14.0,0.0,10,1.0,102.057167,30.427527,310.4,74.093335,1.0,0.0,0.208818,0.0,0.208818
synthetic,synthetic,idID_only,0.208819,0.0,0.208818,0.456967,0.0,0.001186,1e-06,0.002595,3e-06,0.002598,14.0,0.0,10,1.0,68.598539,15.965037,232.3,41.397933,1.0,0.0,0.208819,0.0,0.208818
